user_id,date,referral_level,child_user_id,profit_amount,created_at
040671,2025-11-30,1,0C65C2,0.198,2025-12-01 05:38:33.652295+00
04161E,2025-11-30,1,D866AD,0.198,2025-12-01 05:38:33.652295+00
047E33,2025-11-30,1,02FDF0,0.793,2025-12-01 05:38:33.652295+00
04FF0C,2025-11-30,1,A512FF,1.189,2025-12-01 05:38:33.652295+00
04FF0C,2025-11-30,1,7D5A07,2.775,2025-12-01 05:38:33.652295+00
04FF0C,2025-11-30,1,55F766,0.198,2025-12-01 05:38:33.652295+00
04FF0C,2025-11-30,1,E16C9E,0.198,2025-12-01 05:38:33.652295+00
04FF0C,2025-11-30,1,C79F62,0.198,2025-12-01 05:38:33.652295+00
04FF0C,2025-11-30,1,251D2B,0.198,2025-12-01 05:38:33.652295+00
04FF0C,2025-11-30,2,F5D253,0.099,2025-12-01 05:38:33.652295+00
04FF0C,2025-11-30,2,17673A,0.099,2025-12-01 05:38:33.652295+00
04FF0C,2025-11-30,2,31B405,0.099,2025-12-01 05:38:33.652295+00
04FF0C,2025-11-30,2,E28F37,0.099,2025-12-01 05:38:33.652295+00
04FF0C,2025-11-30,2,F59D48,0.099,2025-12-01 05:38:33.652295+00
04FF0C,2025-11-30,2,7A49CB,0.099,2025-12-01 05:38:33.652295+00
04FF0C,2025-11-30,2,C58662,0.099,2025-12-01 05:38:33.652295+00
04FF0C,2025-11-30,2,F59081,0.099,2025-12-01 05:38:33.652295+00
04FF0C,2025-11-30,3,2EAA6E,0.050,2025-12-01 05:38:33.652295+00
063CE0,2025-11-30,1,892576,0.198,2025-12-01 05:38:33.652295+00
063CE0,2025-11-30,2,FB0A66,0.099,2025-12-01 05:38:33.652295+00
063CE0,2025-11-30,3,1F85EE,0.050,2025-12-01 05:38:33.652295+00
076D31,2025-11-30,1,1757CC,0.198,2025-12-01 05:38:33.652295+00
076D31,2025-11-30,1,79DAC5,0.198,2025-12-01 05:38:33.652295+00
076D31,2025-11-30,2,6B0504,0.099,2025-12-01 05:38:33.652295+00
07712F,2025-11-30,1,F6E460,0.198,2025-12-01 05:38:33.652295+00
07712F,2025-11-30,1,3DE7BA,0.198,2025-12-01 05:38:33.652295+00
07712F,2025-11-30,1,1C341A,0.198,2025-12-01 05:38:33.652295+00
07712F,2025-11-30,1,A416E4,0.198,2025-12-01 05:38:33.652295+00
07712F,2025-11-30,1,DD4154,0.198,2025-12-01 05:38:33.652295+00
07712F,2025-11-30,1,D9CD43,0.991,2025-12-01 05:38:33.652295+00
07712F,2025-11-30,1,AEFBCA,0.198,2025-12-01 05:38:33.652295+00
07712F,2025-11-30,1,22CCAC,1.982,2025-12-01 05:38:33.652295+00
07712F,2025-11-30,1,31C7CB,0.198,2025-12-01 05:38:33.652295+00
07712F,2025-11-30,1,723997,0.198,2025-12-01 05:38:33.652295+00
07712F,2025-11-30,1,C1ADF2,0.198,2025-12-01 05:38:33.652295+00
07712F,2025-11-30,1,59165B,0.595,2025-12-01 05:38:33.652295+00
07712F,2025-11-30,1,794682,0.198,2025-12-01 05:38:33.652295+00
07712F,2025-11-30,1,54A4DE,0.198,2025-12-01 05:38:33.652295+00
07712F,2025-11-30,1,8F7AD9,0.198,2025-12-01 05:38:33.652295+00
07712F,2025-11-30,1,351859,0.198,2025-12-01 05:38:33.652295+00
