日付,運用結果($),累積利益($),プラス域判定,システム利用料30%($),ユーザー配分総額($),1NFTあたり($),ユーザーA_3枚($),ユーザーB_5枚($),ユーザーC_10枚($),備考
2025-11-01,-45.44,-45.44,マイナス域,0.00,-45.44,-0.1199,-0.36,-0.60,-1.20,システム利用料なし
2025-11-02,-23.23,-68.67,マイナス域,0.00,-23.23,-0.0613,-0.18,-0.31,-0.61,システム利用料なし
2025-11-03,147.25,78.58,プラス域,44.18,103.08,0.2720,0.82,1.36,2.72,プラス域転換・30%適用開始
2025-11-04,-61.33,17.25,プラス域,18.40,-42.93,-0.1133,-0.34,-0.57,-1.13,プラス域でもマイナス日
2025-11-05,-23.47,-6.22,マイナス域,0.00,-23.47,-0.0619,-0.19,-0.31,-0.62,マイナス域転落
2025-11-06,-63.20,-69.42,マイナス域,0.00,-63.20,-0.1668,-0.50,-0.83,-1.67,システム利用料なし
2025-11-07,230.50,161.08,プラス域,69.15,161.35,0.4257,1.28,2.13,4.26,プラス域復帰
2025-11-08,85.30,246.38,プラス域,25.59,59.71,0.1576,0.47,0.79,1.58,30%適用
2025-11-09,-120.00,126.38,プラス域,36.00,-84.00,-0.2216,-0.66,-1.11,-2.22,プラス域でもマイナス日
2025-11-10,95.60,221.98,プラス域,28.68,66.92,0.1766,0.53,0.88,1.77,30%適用

サマリー,,,,,,,,
項目,金額($),,,,,,,,
システム利用料合計,222.00,,,,,,,,
最終累積利益,221.98,,,,,,,,
ユーザーA累積(3枚),0.97,,,,,,,,
ユーザーB累積(5枚),1.61,,,,,,,,
ユーザーC累積(10枚),3.22,,,,,,,,

前提条件,,,,,,,,
運用中NFT総枚数,379枚(入金確認済み),,,,,,,,
1NFTの価値,$1000,,,,,,,,
総投資額(運用中),$379000,,,,,,,,
ユーザーA所有,3枚,,,,,,,,
ユーザーB所有,5枚,,,,,,,,
ユーザーC所有,10枚,,,,,,,,

計算ロジック,,,,,,,,
プラス域の場合,運用結果 × 0.7 = ユーザー配分,,,,,,,,
マイナス域の場合,運用結果 × 1.0 = ユーザー負担(システム利用料なし),,,,,,,,
配分方法,ユーザー配分 ÷ 379枚 = 1NFTあたり金額,,,,,,,,
各ユーザー,1NFTあたり金額 × 所有NFT枚数,,,,,,,,

具体例(11/3),,,,,,,,
運用結果,+$147.25,,,,,,,,
累積利益判定,プラス域 → 30%適用,,,,,,,,
ユーザー配分,$147.25 × 0.7 = $103.08,,,,,,,,
1NFTあたり,$103.08 ÷ 379枚 = $0.2720/NFT,,,,,,,,
ユーザーA(3枚),$0.2720 × 3 = $0.82,,,,,,,,
ユーザーB(5枚),$0.2720 × 5 = $1.36,,,,,,,,
ユーザーC(10枚),$0.2720 × 10 = $2.72,,,,,,,,

具体例(11/1マイナス),,,,,,,,
運用結果,-$45.44,,,,,,,,
累積利益判定,マイナス域 → システム利用料なし,,,,,,,,
ユーザー負担,-$45.44 × 1.0 = -$45.44,,,,,,,,
1NFTあたり,-$45.44 ÷ 379枚 = -$0.1199/NFT,,,,,,,,
ユーザーA(3枚),-$0.1199 × 3 = -$0.36,,,,,,,,
ユーザーB(5枚),-$0.1199 × 5 = -$0.60,,,,,,,,
ユーザーC(10枚),-$0.1199 × 10 = -$1.20,,,,,,,,
