日付,運用結果($),累積利益($),プラス域判定,システム利用料30%($),ユーザー配分総額($),1NFTあたり($),ユーザーA_3枚($),ユーザーB_5枚($),ユーザーC_10枚($),備考
2025-11-01,-45.44,-45.44,マイナス域,0.00,-45.44,-0.1047,-0.31,-0.52,-1.05,システム利用料なし
2025-11-02,-23.23,-68.67,マイナス域,0.00,-23.23,-0.0535,-0.16,-0.27,-0.54,システム利用料なし
2025-11-03,147.25,78.58,プラス域,44.18,103.08,0.2375,0.71,1.19,2.38,プラス域転換・30%適用開始
2025-11-04,-61.33,17.25,プラス域,18.40,-42.93,-0.0989,-0.30,-0.49,-0.99,プラス域でもマイナス日
2025-11-05,-23.47,-6.22,マイナス域,0.00,-23.47,-0.0541,-0.16,-0.27,-0.54,マイナス域転落
2025-11-06,-63.20,-69.42,マイナス域,0.00,-63.20,-0.1456,-0.44,-0.73,-1.46,システム利用料なし
2025-11-07,230.50,161.08,プラス域,69.15,161.35,0.3718,1.12,1.86,3.72,プラス域復帰
2025-11-08,85.30,246.38,プラス域,25.59,59.71,0.1376,0.41,0.69,1.38,30%適用
2025-11-09,-120.00,126.38,プラス域,36.00,-84.00,-0.1935,-0.58,-0.97,-1.94,プラス域でもマイナス日
2025-11-10,95.60,221.98,プラス域,28.68,66.92,0.1542,0.46,0.77,1.54,30%適用

サマリー,,,,,,,,
項目,金額($),,,,,,,,
システム利用料合計,222.00,,,,,,,,
最終累積利益,221.98,,,,,,,,
ユーザーA累積(3枚),0.84,,,,,,,,
ユーザーB累積(5枚),1.41,,,,,,,,
ユーザーC累積(10枚),2.81,,,,,,,,

前提条件,,,,,,,,
運用中NFT総枚数,434枚,,,,,,,,
1NFTの価値,$1000,,,,,,,,
総投資額(運用中),$434000,,,,,,,,
ユーザーA所有,3枚,,,,,,,,
ユーザーB所有,5枚,,,,,,,,
ユーザーC所有,10枚,,,,,,,,

計算ロジック,,,,,,,,
プラス域の場合,運用結果 × 0.7 = ユーザー配分,,,,,,,,
マイナス域の場合,運用結果 × 1.0 = ユーザー負担(システム利用料なし),,,,,,,,
配分方法,ユーザー配分 ÷ 434枚 = 1NFTあたり金額,,,,,,,,
各ユーザー,1NFTあたり金額 × 所有NFT枚数,,,,,,,,

具体例,,,,,,,,
11/3の計算,運用結果: +$147.25,,,,,,,,
,累積利益がプラス域 → 30%適用,,,,,,,,
,ユーザー配分: $147.25 × 0.7 = $103.08,,,,,,,,
,1NFTあたり: $103.08 ÷ 434枚 = $0.2375/NFT,,,,,,,,
,ユーザーA(3枚): $0.2375 × 3 = $0.71,,,,,,,,
