日付,運用結果($),累積利益($),プラス域判定,システム利用料30%($),ユーザー配分総額($),1NFTあたり($),ユーザーA_3枚($),ユーザーB_5枚($),ユーザーC_10枚($),備考
2025-11-01,-45.44,-45.44,マイナス域,0.00,-45.44,-0.0659,-0.20,-0.33,-0.66,システム利用料なし
2025-11-02,-23.23,-68.67,マイナス域,0.00,-23.23,-0.0337,-0.10,-0.17,-0.34,システム利用料なし
2025-11-03,147.25,78.58,プラス域,44.18,103.08,0.1496,0.45,0.75,1.50,プラス域転換・30%適用開始
2025-11-04,-61.33,17.25,プラス域,18.40,-42.93,-0.0623,-0.19,-0.31,-0.62,プラス域でもマイナス日
2025-11-05,-23.47,-6.22,マイナス域,0.00,-23.47,-0.0341,-0.10,-0.17,-0.34,マイナス域転落
2025-11-06,-63.20,-69.42,マイナス域,0.00,-63.20,-0.0917,-0.28,-0.46,-0.92,システム利用料なし
2025-11-07,230.50,161.08,プラス域,69.15,161.35,0.2342,0.70,1.17,2.34,プラス域復帰
2025-11-08,85.30,246.38,プラス域,25.59,59.71,0.0867,0.26,0.43,0.87,30%適用
2025-11-09,-120.00,126.38,プラス域,36.00,-84.00,-0.1219,-0.37,-0.61,-1.22,プラス域でもマイナス日
2025-11-10,95.60,221.98,プラス域,28.68,66.92,0.0971,0.29,0.49,0.97,30%適用

サマリー,,,,,,,,
項目,金額($),,,,,,,,
システム利用料合計,222.00,,,,,,,,
最終累積利益,221.98,,,,,,,,
ユーザーA累積(3枚),0.53,,,,,,,,
ユーザーB累積(5枚),0.89,,,,,,,,
ユーザーC累積(10枚),1.77,,,,,,,,

前提条件,,,,,,,,
運用中NFT総枚数,689枚(ペガサス・運用開始前除く),,,,,,,,
1NFTの価値,$1000,,,,,,,,
総投資額(運用中),689000,,,,,,,,
除外対象,ペガサスユーザー・運用開始前ユーザー,,,,,,,,

計算ロジック,,,,,,,,
プラス域の場合,運用結果 × 0.7 = ユーザー配分,,,,,,,,
マイナス域の場合,運用結果 × 1.0 = ユーザー負担(システム利用料なし),,,,,,,,
配分方法,ユーザー配分 ÷ 689枚 = 1NFTあたり金額,,,,,,,,
各ユーザー,1NFTあたり金額 × 所有NFT枚数,,,,,,,,

具体例(11/3プラスの日),,,,,,,,
運用結果,+$147.25,,,,,,,,
累積利益判定,プラス域(+$78.58) → 30%適用,,,,,,,,
システム利用料,$147.25 × 0.3 = $44.18,,,,,,,,
ユーザー配分,$147.25 × 0.7 = $103.08,,,,,,,,
1NFTあたり,$103.08 ÷ 689枚 = $0.1496/NFT,,,,,,,,
ユーザーA(3枚),$0.1496 × 3 = $0.45,,,,,,,,
ユーザーB(5枚),$0.1496 × 5 = $0.75,,,,,,,,
ユーザーC(10枚),$0.1496 × 10 = $1.50,,,,,,,,

具体例(11/1マイナスの日),,,,,,,,
運用結果,-$45.44,,,,,,,,
累積利益判定,マイナス域(-$45.44) → システム利用料なし,,,,,,,,
システム利用料,$0(会社負担なし),,,,,,,,
ユーザー負担,-$45.44 × 1.0 = -$45.44,,,,,,,,
1NFTあたり,-$45.44 ÷ 689枚 = -$0.0659/NFT,,,,,,,,
ユーザーA(3枚),-$0.0659 × 3 = -$0.20,,,,,,,,
ユーザーB(5枚),-$0.0659 × 5 = -$0.33,,,,,,,,
ユーザーC(10枚),-$0.0659 × 10 = -$0.66,,,,,,,,

具体例(11/4プラス域でマイナス日),,,,,,,,
運用結果,-$61.33,,,,,,,,
累積利益判定,プラス域(+$17.25) → 30%適用,,,,,,,,
システム利用料,-$61.33 × 0.3 = -$18.40(会社が負担),,,,,,,,
ユーザー負担,-$61.33 × 0.7 = -$42.93,,,,,,,,
1NFTあたり,-$42.93 ÷ 689枚 = -$0.0623/NFT,,,,,,,,
ユーザーA(3枚),-$0.0623 × 3 = -$0.19,,,,,,,,
